	(!!)	GHC.Stack.Types.HasCallStack => [a] -> Int -> a
	(++)	[a] -> [a] -> [a]
(base-4.18.3.0	Data.OldList.\\)	Eq a => [a] -> [a] -> [a]
	all	Foldable t => (a -> Bool) -> t a -> Bool
	and	Foldable t => t Bool -> Bool
	any	Foldable t => (a -> Bool) -> t a -> Bool
	break	(a -> Bool) -> [a] -> ([a], [a])
	concat	Foldable t => t [a] -> [a]
	concatMap	Foldable t => (a -> [b]) -> t a -> [b]
	cycle	GHC.Stack.Types.HasCallStack => [a] -> [a]
base-4.18.3.0	Data.OldList.delete	Eq a => a -> [a] -> [a]
	drop	Int -> [a] -> [a]
	dropWhile	(a -> Bool) -> [a] -> [a]
	elem	Eq a => a -> t a -> Bool
base-4.18.3.0	Data.OldList.elemIndices	Eq a => a -> [a] -> [Int]
	filter	(a -> Bool) -> [a] -> [a]
	Data.Foldable.find	Foldable t => (a -> Bool) -> t a -> Maybe a
	foldl	(b -> a -> b) -> b -> t a -> b
	Data.Foldable.foldl'	(b -> a -> b) -> b -> t a -> b
	foldl1	(a -> a -> a) -> t a -> a
	foldr	(a -> b -> b) -> b -> t a -> b
	foldr1	(a -> a -> a) -> t a -> a
base-4.18.3.0	Data.OldList.genericLength	Num i => [a] -> i
base-4.18.3.0	Data.OldList.group	Eq a => [a] -> [[a]]
	head	GHC.Stack.Types.HasCallStack => [a] -> a
	init	GHC.Stack.Types.HasCallStack => [a] -> [a]
base-4.18.3.0	Data.OldList.inits	[a] -> [[a]]
base-4.18.3.0	Data.OldList.insert	Ord a => a -> [a] -> [a]
base-4.18.3.0	Data.OldList.intercalate	[a] -> [[a]] -> [a]
base-4.18.3.0	Data.OldList.intersect	Eq a => [a] -> [a] -> [a]
base-4.18.3.0	Data.OldList.intersperse	a -> [a] -> [a]
base-4.18.3.0	Data.OldList.isInfixOf	Eq a => [a] -> [a] -> Bool
base-4.18.3.0	Data.OldList.isPrefixOf	Eq a => [a] -> [a] -> Bool
base-4.18.3.0	Data.OldList.isSuffixOf	Eq a => [a] -> [a] -> Bool
	iterate	(a -> a) -> a -> [a]
	GHC.List.iterate'	(a -> a) -> a -> [a]
	last	GHC.Stack.Types.HasCallStack => [a] -> a
	length	t a -> Int
	lines	String -> [String]
	lookup	Eq a => a -> [(a, b)] -> Maybe b
	map	(a -> b) -> [a] -> [b]
	maximum	Ord a => t a -> a
	minimum	Ord a => t a -> a
	notElem	(Foldable t, Eq a) => a -> t a -> Bool
base-4.18.3.0	Data.OldList.nub	Eq a => [a] -> [a]
base-4.18.3.0	Data.OldList.nubBy	(a -> a -> Bool) -> [a] -> [a]
	null	t a -> Bool
	or	Foldable t => t Bool -> Bool
base-4.18.3.0	Data.OldList.permutations	[a] -> [[a]]
	product	Num a => t a -> a
	repeat	a -> [a]
	replicate	Int -> a -> [a]
	reverse	[a] -> [a]
	scanl	(b -> a -> b) -> b -> [a] -> [b]
	GHC.List.scanl'	(b -> a -> b) -> b -> [a] -> [b]
	scanl1	(a -> a -> a) -> [a] -> [a]
	scanr	(a -> b -> b) -> b -> [a] -> [b]
	scanr1	(a -> a -> a) -> [a] -> [a]
base-4.18.3.0	Data.OldList.singleton	a -> [a]
base-4.18.3.0	Data.OldList.sort	Ord a => [a] -> [a]
	span	(a -> Bool) -> [a] -> ([a], [a])
	splitAt	Int -> [a] -> ([a], [a])
base-4.18.3.0	Data.OldList.subsequences	[a] -> [[a]]
	sum	Num a => t a -> a
	tail	GHC.Stack.Types.HasCallStack => [a] -> [a]
base-4.18.3.0	Data.OldList.tails	[a] -> [[a]]
	take	Int -> [a] -> [a]
	takeWhile	(a -> Bool) -> [a] -> [a]
base-4.18.3.0	Data.OldList.transpose	[[a]] -> [[a]]
	GHC.List.uncons	[a] -> Maybe (a, [a])
base-4.18.3.0	Data.OldList.union	Eq a => [a] -> [a] -> [a]
	unlines	[String] -> String
	unwords	[String] -> String
	unzip	[(a, b)] -> ([a], [b])
	unzip3	[(a, b, c)] -> ([a], [b], [c])
	words	String -> [String]
	zip	[a] -> [b] -> [(a, b)]
	zip3	[a] -> [b] -> [c] -> [(a, b, c)]
	zipWith	(a -> b -> c) -> [a] -> [b] -> [c]
	zipWith3	(a -> b -> c -> d) -> [a] -> [b] -> [c] -> [d]
	Data.List.NonEmpty.drop	Int -> GHC.Base.NonEmpty a -> [a]
	Data.List.NonEmpty.head	GHC.Base.NonEmpty a -> a
	Data.List.NonEmpty.init	GHC.Base.NonEmpty a -> [a]
	Data.List.NonEmpty.iterate	(a -> a) -> a -> GHC.Base.NonEmpty a
	Data.List.NonEmpty.last	GHC.Base.NonEmpty a -> a
	Data.List.NonEmpty.length	GHC.Base.NonEmpty a -> Int
	Data.List.NonEmpty.nonEmpty	[a] -> Maybe (GHC.Base.NonEmpty a)
	Data.List.NonEmpty.repeat	a -> GHC.Base.NonEmpty a
	Data.List.NonEmpty.singleton	a -> GHC.Base.NonEmpty a
	Data.List.NonEmpty.tail	GHC.Base.NonEmpty a -> [a]
	Data.List.NonEmpty.take	Int -> GHC.Base.NonEmpty a -> [a]
	Data.List.NonEmpty.toList	GHC.Base.NonEmpty a -> [a]
	Data.List.NonEmpty.unzip	Functor f => f (a, b) -> (f a, f b)
	Data.List.NonEmpty.xor	GHC.Base.NonEmpty Bool -> Bool
	Data.Maybe.fromJust	GHC.Stack.Types.HasCallStack => Maybe a -> a
	Data.Maybe.fromMaybe	a -> Maybe a -> a
	Data.Maybe.isJust	Maybe a -> Bool
	Data.Maybe.isNothing	Maybe a -> Bool
	Data.Maybe.listToMaybe	[a] -> Maybe a
	Data.Maybe.mapMaybe	(a -> Maybe b) -> [a] -> [b]
	maybe	b -> (a -> b) -> Maybe a -> b
	Data.Maybe.maybeToList	Maybe a -> [a]
	(<>)	a -> a -> a
type base-4.18.3.0	Data.Semigroup.Internal.All	*
type base-4.18.3.0	Data.Semigroup.Internal.Alt	forall {k}.
type base-4.18.3.0	Data.Semigroup.Internal.Any	*
type base-4.18.3.0	Data.Semigroup.Internal.Dual	* -> *
type base-4.18.3.0	Data.Semigroup.Internal.Endo	* -> *
	mempty	a
	mappend	a -> a -> a
	mconcat	[a] -> a
type base-4.18.3.0	Data.Semigroup.Internal.Product	* -> *
type base-4.18.3.0	Data.Semigroup.Internal.Sum	* -> *
	Data.Ord.clamp	Ord a => (a, a) -> a -> a
	Data.Ord.comparing	Ord a => (b -> a) -> b -> b -> Ordering
	compare	a -> a -> Ordering
	(<)	a -> a -> Bool
	(<=)	a -> a -> Bool
	(>)	a -> a -> Bool
	(>=)	a -> a -> Bool
	max	a -> a -> a
	min	a -> a -> a
	Data.Proxy.asProxyTypeOf	a -> proxy a -> a
