testCases81	[Char]
testCases83	([Char],[Char])
testCases84	[Char]
testCases86	[Char]
testCases88	([Char],[Char])
testCases89	[Char]
testCases9	[(String, String)]
testCases91	[Char]
testCases93	([Char],[Char])
testCases94	[Char]
testCases96	[Char]
testCases98	([Char],[Char])
testCases99	[Char]
testCasesDo	[(String, String)]
testCasesDo1	[(String, String)]
testCasesDo10	[(String, String)]
testCasesDo100	[(String, String)]
testCasesDo101	[(String, String)]
testCasesDo102	[(String, String)]
testCasesDo103	[(String, String)]
testCasesDo104	[(String, String)]
testCasesDo105	[(String, String)]
testCasesDo106	[(String, String)]
testCasesDo107	([Char],[Char])
testCasesDo108	[Char]
testCasesDo11	[(String, String)]
testCasesDo110	[Char]
testCasesDo112	([Char],[Char])
testCasesDo113	[Char]
testCasesDo115	([Char],[Char])
testCasesDo116	[Char]
testCasesDo118	([Char],[Char])
testCasesDo119	[Char]
testCasesDo12	[(String, String)]
testCasesDo121	([Char],[Char])
