type base-4.18.3.0	either	(a -> c) -> (b -> c) -> Either a b -> c
type base-4.18.3.0	(/=)	Eq a => a -> a -> Bool
type base-4.18.3.0	(==)	Eq a => a -> a -> Bool
type base-4.18.3.0	Data.Fixed.div'	(Real a, Integral b) => a -> a -> b
type base-4.18.3.0	Data.Fixed.divMod'	(Real a, Integral b) => a -> a -> (b, a)
type base-4.18.3.0	Data.Fixed.mod'	Real a => a -> a -> a
type base-4.18.3.0	Data.Foldable.find	Foldable t => (a -> Bool) -> t a -> Maybe a
type base-4.18.3.0	Data.Foldable.fold	(Foldable t, Monoid m) => t m -> m
type base-4.18.3.0	Data.Foldable.toList	Foldable t => t a -> [a]
type base-4.18.3.0	all	Foldable t => (a -> Bool) -> t a -> Bool
type base-4.18.3.0	and	Foldable t => t Bool -> Bool
type base-4.18.3.0	any	Foldable t => (a -> Bool) -> t a -> Bool
type base-4.18.3.0	concat	Foldable t => t [a] -> [a]
type base-4.18.3.0	concatMap	Foldable t => (a -> [b]) -> t a -> [b]
type base-4.18.3.0	elem	(Foldable t, Eq a) => a -> t a -> Bool
type base-4.18.3.0	foldMap	(Foldable t, Monoid m) => (a -> m) -> t a -> m
type base-4.18.3.0	foldl	Foldable t => (b -> a -> b) -> b -> t a -> b
type base-4.18.3.0	foldl1	Foldable t => (a -> a -> a) -> t a -> a
type base-4.18.3.0	foldr	Foldable t => (a -> b -> b) -> b -> t a -> b
type base-4.18.3.0	foldr1	Foldable t => (a -> a -> a) -> t a -> a
type base-4.18.3.0	length	Foldable t => t a -> Int
type base-4.18.3.0	mapM_	(Foldable t, Monad m) => (a -> m b) -> t a -> m ()
type base-4.18.3.0	maximum	(Foldable t, Ord a) => t a -> a
type base-4.18.3.0	minimum	(Foldable t, Ord a) => t a -> a
type base-4.18.3.0	notElem	(Foldable t, Eq a) => a -> t a -> Bool
type base-4.18.3.0	null	Foldable t => t a -> Bool
type base-4.18.3.0	or	Foldable t => t Bool -> Bool
type base-4.18.3.0	product	(Foldable t, Num a) => t a -> a
type base-4.18.3.0	sequence_	(Foldable t, Monad m) => t (m a) -> m ()
type base-4.18.3.0	sum	(Foldable t, Num a) => t a -> a
type base-4.18.3.0	Data.Foldable1.head	Data.Foldable1.Foldable1 t => t a -> a
type base-4.18.3.0	Data.Foldable1.last	Data.Foldable1.Foldable1 t => t a -> a
type base-4.18.3.0	(Data.Function.&)	a -> (a -> b) -> b
type base-4.18.3.0	Data.Function.applyWhen	Bool -> (a -> a) -> a -> a
type base-4.18.3.0	Data.Function.fix	(a -> a) -> a
type base-4.18.3.0	Data.Function.on	(b -> b -> c) -> (a -> b) -> a -> a -> c
type base-4.18.3.0	($)	(a -> b) -> a -> b
type base-4.18.3.0	(.)	(b -> c) -> (a -> b) -> a -> c
type base-4.18.3.0	const	a -> b -> a
type base-4.18.3.0	flip	(a -> b -> c) -> b -> a -> c
type base-4.18.3.0	id	a -> a
type base-4.18.3.0	(Data.Functor.$>)	Functor f => f a -> b -> f b
type base-4.18.3.0	(Data.Functor.<&>)	Functor f => f a -> (a -> b) -> f b
type base-4.18.3.0	Data.Functor.void	Functor f => f a -> f ()
type base-4.18.3.0	(<$>)	Functor f => (a -> b) -> f a -> f b
type base-4.18.3.0	(<$)	Functor f => a -> f b -> f a
type base-4.18.3.0	fmap	Functor f => (a -> b) -> f a -> f b
type base-4.18.3.0	Data.IORef.atomicWriteIORef	GHC.IORef.IORef a -> a -> IO ()
type base-4.18.3.0	Data.IORef.modifyIORef	GHC.IORef.IORef a -> (a -> a) -> IO ()
type base-4.18.3.0	Data.IORef.modifyIORef'	GHC.IORef.IORef a -> (a -> a) -> IO ()
type base-4.18.3.0	GHC.IORef.newIORef	a -> IO (GHC.IORef.IORef a)
type base-4.18.3.0	GHC.IORef.readIORef	GHC.IORef.IORef a -> IO a
type base-4.18.3.0	GHC.IORef.writeIORef	GHC.IORef.IORef a -> a -> IO ()
type base-4.18.3.0	GHC.Ix.inRange	GHC.Ix.Ix a => (a, a) -> a -> Bool
type base-4.18.3.0	GHC.Ix.index	GHC.Ix.Ix a => (a, a) -> a -> Int
type base-4.18.3.0	GHC.Ix.range	GHC.Ix.Ix a => (a, a) -> [a]
type base-4.18.3.0	GHC.Ix.rangeSize	GHC.Ix.Ix a => (a, a) -> Int
type base-4.18.3.0	Data.List.isSubsequenceOf	Eq a => [a] -> [a] -> Bool
(base-4.18.3.0	Data.OldList.\\)	Eq a => [a] -> [a] -> [a]
base-4.18.3.0	Data.OldList.delete	Eq a => a -> [a] -> [a]
base-4.18.3.0	Data.OldList.elemIndices	Eq a => a -> [a] -> [Int]
base-4.18.3.0	Data.Foldable.find	Foldable t => (a -> Bool) -> t a -> Maybe a
base-4.18.3.0	Data.OldList.genericLength	Num i => [a] -> i
base-4.18.3.0	Data.OldList.group	Eq a => [a] -> [[a]]
base-4.18.3.0	Data.OldList.inits	[a] -> [[a]]
